scene,time,headsetLocationX,headsetLocationY,headsetLocationZ
4,0.6763292,-1.026982,1.192317,-0.06454366
4,0.6879362,-1.026782,1.192497,-0.06450129
4,0.6993943,-1.026606,1.192573,-0.06436318
4,0.7097409,-1.02641,1.192575,-0.06420326
4,0.7206876,-1.026246,1.192594,-0.06400329
4,0.7321855,-1.026063,1.192568,-0.06388563
4,0.7438275,-1.025918,1.192554,-0.06379348
4,0.7555702,-1.025783,1.192547,-0.06363052
4,0.7666232,-1.025665,1.192532,-0.06353879
4,0.7773758,-1.025484,1.192425,-0.06336653
4,0.7876896,-1.025402,1.192451,-0.06336212
4,0.7987986,-1.025278,1.192402,-0.06329066
4,0.8103725,-1.025171,1.192254,-0.06312567
4,0.8210251,-1.025074,1.19226,-0.06315756
4,0.8323905,-1.024939,1.192179,-0.06309998
4,0.8435193,-1.024854,1.19204,-0.06294739
4,0.8546886,-1.024764,1.192057,-0.06303835
4,0.8660172,-1.024662,1.192009,-0.06303018
4,0.8772084,-1.024548,1.191881,-0.06291711
4,0.8894032,-1.024465,1.191941,-0.06301385
4,0.9009796,-1.024364,1.191925,-0.06302589
4,0.9118253,-1.024205,1.191854,-0.06299573
4,0.9230433,-1.02413,1.191948,-0.06316769
4,0.9328733,-1.024038,1.191975,-0.06321901
4,0.944393,-1.023983,1.191911,-0.06312895
4,0.9556919,-1.023921,1.192002,-0.0633539
4,0.966379,-1.02385,1.19203,-0.06341588
4,0.9782647,-1.02384,1.191966,-0.0633713
4,0.9889423,-1.023831,1.192094,-0.06353223
4,0.9999816,-1.023817,1.19208,-0.06363076
4,1.011869,-1.023836,1.191982,-0.06357831
4,1.023255,-1.023879,1.192042,-0.06369168
4,1.033985,-1.023885,1.192018,-0.06375623
4,1.044978,-1.023881,1.191943,-0.06374133
4,1.056209,-1.023933,1.191969,-0.06399441
4,1.067086,-1.023954,1.19194,-0.06408513
4,1.078806,-1.023965,1.191855,-0.06405932
4,1.089387,-1.024017,1.191884,-0.06423092
4,1.100911,-1.024055,1.191822,-0.06427228
4,1.112524,-1.024052,1.191695,-0.06424296
4,1.123916,-1.024119,1.191739,-0.06437671
4,1.13565,-1.024155,1.191687,-0.06439555
4,1.147115,-1.024186,1.191584,-0.06433928
4,1.158495,-1.024268,1.191596,-0.06458396
4,1.170043,-1.024318,1.191586,-0.06458765
4,1.181351,-1.024316,1.191537,-0.06449878
4,1.192899,-1.024373,1.191594,-0.06456184
4,1.204613,-1.024429,1.191565,-0.06451178
4,1.216387,-1.024482,1.191488,-0.06435972
4,1.227609,-1.024534,1.191574,-0.06439948
4,1.238788,-1.024566,1.191565,-0.06433016
4,1.250852,-1.024551,1.191527,-0.06420487
4,1.261992,-1.024592,1.191637,-0.06419134
4,1.272935,-1.024605,1.191646,-0.06409782
4,1.284002,-1.024632,1.191603,-0.06390989
4,1.296346,-1.024659,1.191752,-0.06387782
4,1.306641,-1.024653,1.191799,-0.06377262
